,bench,ARIMA,LSTM,SVM_weekdays,SVM_noweekdays
AS14.01,0.3207777777777778,0.3043314162532065,0.2525990993870755,0.26097096145862325,0.3211516606598571
AS14.02,0.6612901234567901,0.5251686088112134,0.5694206714497058,0.5725782158983229,0.6054567248238587
AS14.03,0.15184567901234558,0.0782630686674416,0.08650751770281886,0.08543505789440088,0.08676143861774077
AS14.05,0.5382716049382715,0.2261596091186249,0.11225189127531712,0.16851763717688187,0.1878434463338759
AS14.06,0.5495555555555554,0.2940306494796749,0.2971513014506151,0.2898531759846459,0.293939950904425
AS14.07,2.0941728395061725,1.4146915243448406,1.4023637372547357,1.3396092525062824,1.448142811726841
AS14.08,0.4030493827160494,0.3710942381045069,0.4417410651100013,0.3267895451106469,0.4211744289808548
AS14.09,0.5037160493827161,0.6083267029572131,0.5099249673099512,0.4155980489700507,0.5603446253671442
AS14.12,0.4013333333333334,0.2578474358748108,0.2909849481488047,0.35179616151931303,0.3572622652912918
AS14.13,1.0781111111111117,1.0168759928067344,1.4272215435563431,0.8919482761655937,1.0405277395020598
AS14.14,0.3198395061728393,0.2636139356295388,0.3715871796476625,0.4067601640168114,0.370572916677492
AS14.15,0.12444444444444445,0.12384117321987348,0.14861001437210347,0.1517835367235529,0.15279014676469274
AS14.16,0.4122716049382715,0.4518182259693192,0.4672236868510269,0.3145119115089057,0.35184925901833064
AS14.17,0.17972222222222228,0.07911136499560406,0.08331548745660712,0.10332709647705243,0.08182147355178078
AS14.19,0.4753703703703703,0.20913211003438167,0.22568578759220076,0.18922951135957672,0.2180381059824659
AS14.20,0.18241975308641967,0.19378760252316246,0.18045837826950234,0.16326285608805075,0.1933449127053001
AS14.23,0.15366666666666665,0.24732514695528984,0.2322830860542291,0.2603826013514444,0.29332402292290244
AS14.24,0.2771049382716049,0.1823642739867558,0.16294803230676924,0.18993029017611565,0.16851874293262026
AS14.25,0.3360987654320988,0.2793839717901546,0.3413128807664191,0.3804391411892241,0.3331585868447713
AS14.26,0.3207777777777778,0.4608720430223818,0.510255188536446,0.5225896172625958,0.4883010081929792
AS14.27,0.4972962962962965,0.40946544119090217,0.4140788507735237,0.5075088229165267,0.9838244179689384
AS14.28,0.6399999999999999,0.2951428478020047,0.3685996525143588,0.4056218758443034,0.3817660713773261
AS14.29,0.3195555555555554,0.35894375798975064,0.4031048192982684,0.4707960270820009,0.5022213267703536
AS14.30,0.19471604938271608,0.05465231869755517,0.059483861493991014,0.06602656210082444,0.06562935053071081
AS14.31,0.1935432098765432,0.14936262913789186,0.18619733223685064,0.1439399927493261,0.2146162592031767
AS14.33,0.6803580246913576,0.4691482939399467,0.512805424658594,0.6821168753189597,0.5356546132151493
